space,proposal_id,proposal_title,discussion_url,reason
1inch.eth,0x9c7eb76e844af2a4c76a4f73dbddb88a9dd9282064d66d3b3a6b9f9d9fa96c6a,1IP-13: Governance Process Improvements,https://gov.1inch.io/discussion/9363-1ip13-governance-process-improvements,non-discourse (no structured comments)
1inch.eth,0x24e13b2094332e631c26027387afe0857892733f5689248f1c7862994abeffdd,"[1IP-36] Creating reviews, threads, articles, and natively working with DeFi opinion leaders",https://gov.1inch.io/discussion/12173-1ip36-creating-reviews-threads-articles-and-natively-working-with-defi-opinion-leaders,non-discourse (no structured comments)
