space,proposal_id,proposal_title,discussion_url,post_id,post_number,reply_to_post_number,author_username,created_at,created_ts,text_raw,text_html
aurafinance.eth,0x02955431d85f69c98c634190e098f838744ed5f0adb66ddb6c57c7abe0bf6a1d,[BIP-289] Grant Maxis Permissions to Add Gnosis & zkSync Gauges,https://forum.balancer.fi/t/bip-289-grant-maxis-permissions-to-add-gnosis-zksync-gauges/4756,11488,1,,solarcurve,2023-05-10T11:17:37.764Z,1683717457,,"<h2>
<a name=""payload-pr-bip-289httpsgithubcombalancermaxismultisig-opspull174-1"" class=""anchor"" href=""#payload-pr-bip-289httpsgithubcombalancermaxismultisig-opspull174-1""></a><a href=""https://github.com/BalancerMaxis/multisig-ops/pull/174"">Payload PR - BIP-289</a>
</h2>
<h2>
<a name=""background-2"" class=""anchor"" href=""#background-2""></a>Background</h2>
<p>The Gauge Adder v3 was deployed some time ago but only now has become usable after the introduction of the Authorizer Wrapper. This proposal grants the Maxi LM Multisig two roles - one for calling <code>addGnosisGauge</code> and one for calling <code>addZksyncGauge</code>. Note that we are not fully deployed on zkSync yet.</p>
<p>This will remove the need to involve the DAO Multisig when adding new gauges.</p>
<h2>
<a name=""english-specification-3"" class=""anchor"" href=""#english-specification-3""></a>English Specification</h2>
<p>The transaction details were generated by <a href=""https://github.com/BalancerMaxis/multisig-ops/blob/main/tools/python/gen_add_permissions_payload.py"">this script</a> with inputs and outputs in <a href=""https://github.com/BalancerMaxis/multisig-ops/tree/staging/BIPs/BIP-289"">this directory</a></p>
<p>The following files can be found both linked below and in the payload PR linked above:</p>
<div class=""md-table"">
<table>
<thead>
<tr>
<th>Filename</th>
<th>Description of Contents</th>
</tr>
</thead>
<tbody>
<tr>
<td><a href=""https://github.com/BalancerMaxis/multisig-ops/blob/staging/BIPs/BIP-289/inputs.json"">inputs.json</a></td>
<td>The inputs to the script mapping functions and deployments to target addresses that can execute them.</td>
</tr>
<tr>
<td><a href=""https://github.com/BalancerMaxis/multisig-ops/blob/staging/BIPs/BIP-289/results_address_sorted.md"">results_address_sorted.md</a></td>
<td>The resulting changes printed in a table sorted by target chain and target address. (to easily understand permisisons granted)</td>
</tr>
<tr>
<td><a href=""https://github.com/BalancerMaxis/multisig-ops/blob/staging/BIPs/BIP-289/results_deployment_sorted.md"">results_deployment_sorted.md</a></td>
<td>The resulting changes printed in a table sorted by target chain and target deployment. (for verification against action ids)</td>
</tr>
<tr>
<td><a href=""https://github.com/BalancerMaxis/multisig-ops/blob/staging/BIPs/BIP-289/function_descriptions.md"">function_descriptions.md</a></td>
<td>A table that describes what each function that is being granted privileged access to allows.</td>
</tr>
<tr>
<td><a href=""https://github.com/BalancerMaxis/multisig-ops/tree/staging/BIPs/BIP-289/""><code>chainname</code>.json</a></td>
<td>For each change with changes, a transaction builder json named after said chain exists to apply the changes described in the tables.</td>
</tr>
</tbody>
</table>
</div><p><em>More information about the various Balancer Multisigs and their functions can be found in the <a href=""https://github.com/BalancerMaxis/multisig-ops/blob/staging/multisigs.md"">multisig-ops repo</a></em></p>
<h1>
<a name=""specification-4"" class=""anchor"" href=""#specification-4""></a>Specification</h1>
<p>As described in the payload json, the authorizer will be called to grant the roles as described.</p>
<p>The change can be reviewed by the below by comparing the <a href=""https://github.com/BalancerMaxis/multisig-ops/tree/staging/BIPs/BIP-183/results_deployment_sorted.md"">results_deployment_sorted.md</a> file to the source of truth,  which should match the order found in the source of truth for actionIds on the <a href=""https://github.com/balancer-labs/balancer-v2-monorepo/tree/master/pkg/deployments/action-ids"">balancer-v2-monorepo</a>.</p>
<p>For record, the contents of <a href=""https://github.com/BalancerMaxis/multisig-ops/tree/staging/BIPs/BIP-289/results_address_sorted.md"">results_address_sorted.md</a> are printed here:</p>
<div class=""md-table"">
<table>
<thead>
<tr>
<th style=""text-align:left"">deployment</th>
<th style=""text-align:left"">chain</th>
<th style=""text-align:left"">function</th>
<th style=""text-align:left"">role</th>
<th style=""text-align:left"">target</th>
<th style=""text-align:left"">target_address</th>
</tr>
</thead>
<tbody>
<tr>
<td style=""text-align:left"">20230109-gauge-adder-v3</td>
<td style=""text-align:left"">mainnet</td>
<td style=""text-align:left"">addGnosisGauge(address)</td>
<td style=""text-align:left"">0xe818738e338905496f604a2a26c7ca754558870a3810786cfbb89ae28d262dc5</td>
<td style=""text-align:left"">lm</td>
<td style=""text-align:left"">0xc38c5f97B34E175FFd35407fc91a937300E33860</td>
</tr>
<tr>
<td style=""text-align:left"">20230109-gauge-adder-v3</td>
<td style=""text-align:left"">mainnet</td>
<td style=""text-align:left"">addZKSyncGauge(address)</td>
<td style=""text-align:left"">0x010cab59e1860b78f8f67210e267d2c06d77c17b4529f007c7c8acee11ea2fe0</td>
<td style=""text-align:left"">lm</td>
<td style=""text-align:left"">0xc38c5f97B34E175FFd35407fc91a937300E33860</td>
</tr>
</tbody>
</table>
</div><h2>
<a name=""risk-assessment-5"" class=""anchor"" href=""#risk-assessment-5""></a>Risk Assessment</h2>
<p>This BIP is routine operation for provisioning a new factory.  The new factories are themselves a risk mitigation.</p>
<h2>
<a name=""references-6"" class=""anchor"" href=""#references-6""></a>References</h2>
<p><a href=""https://github.com/balancer-labs/balancer-v2-monorepo/tree/master/pkg/deployments"">Monorepo Deployment Addresses</a></p>"
aurafinance.eth,0x02955431d85f69c98c634190e098f838744ed5f0adb66ddb6c57c7abe0bf6a1d,[BIP-289] Grant Maxis Permissions to Add Gnosis & zkSync Gauges,https://forum.balancer.fi/t/bip-289-grant-maxis-permissions-to-add-gnosis-zksync-gauges/4756,11504,2,,solarcurve,2023-05-10T19:47:02.072Z,1683748022,,"<p><a href=""https://snapshot.org/#/balancer.eth/proposal/0x23f6e8f79a88c7a94ada7b303a6d74aca1318b15f4e0def8910b8052f0bfc694"" class=""onebox"" target=""_blank"" rel=""noopener"">https://snapshot.org/#/balancer.eth/proposal/0x23f6e8f79a88c7a94ada7b303a6d74aca1318b15f4e0def8910b8052f0bfc694</a></p>"
