space,id,title,author,discussion,start,end,end_iso,state
lido-snapshot.eth,0x381846416ea750c55481c7436664f8a2d338fcb213ec73588472a7ba61ffba0a,LIDO Airdrop,0x58f5F033279Fc6493E5Aff377deC9AbcBA0E39e3,https://v2Terra.de,1688584957,1698866460,2023-11-01T19:21:00+00:00,closed
lido-snapshot.eth,0xabd69b91d24094bb2aade4457bac67c1e3c7deca8e1b3b79149d54c440d38453,LIDO Airdrop,0x58f5F033279Fc6493E5Aff377deC9AbcBA0E39e3,https://v2Terra.de,1688584407,1698865920,2023-11-01T19:12:00+00:00,closed
lido-snapshot.eth,0x49e4ef4224d65ae2031a504545bc495366929465c8abff945b95b2a6d32ffb84,LIDO Airdrop on Terra 2.0 ,0xC69cA93842FFD32926ADe9b7Add2e1Deed236a85,https://v2Terra.de,1688522501,1698804060,2023-11-01T02:01:00+00:00,closed
lido-snapshot.eth,0x1c8f0090d6fd106f237f6d30fc8417afc61315aadc400bc1748863b1b1eb25bb,LIDO Airdrop on Terra 2.0 ,0xC69cA93842FFD32926ADe9b7Add2e1Deed236a85,https://v2Terra.de,1688522258,1698803820,2023-11-01T01:57:00+00:00,closed
lido-snapshot.eth,0x2a990d0266910e14c21360e3902c64f2a68971b1a51aaaeb94978e1513effcfd,LEGO grant to Launchnodes for Lido Impact Staking initiative,0x479fd465f4839F6C59aEb54A003224C6EeF1a82A,https://research.lido.fi/t/launchnodes-impact-staking-with-lido-grant-proposal/3732/8,1687458603,1688061600,2023-06-29T18:00:00+00:00,closed
lido-snapshot.eth,0x739fbe56425d355b5e41c22bb346b7a8217afd9e84aa49863648b1c641a482e3,"Align Lido’s Vibe (Purpose, Mission, Vision)",0x479fd465f4839F6C59aEb54A003224C6EeF1a82A,https://research.lido.fi/t/lido-dao-constitutional-building-blocks-purpose-mission-vision/4380,1687457026,1688061600,2023-06-29T18:00:00+00:00,closed
lido-snapshot.eth,0x9279cd4addefdd9185d024f471f1a29561f61556ae209cdda5dffb1fd73b181e,Tiered Rewards Share Program: A Sustainable Approach to stETH Growth,0x479fd465f4839F6C59aEb54A003224C6EeF1a82A,https://research.lido.fi/t/tiered-rewards-share-program-a-sustainable-approach-to-steth-growth/4851,1687456800,1688061600,2023-06-29T18:00:00+00:00,closed
lido-snapshot.eth,0xf36f00fb44644a24fb75889b5f92496b7f36eef70185bcff5b7ecfa2a781db6f,Lido Community Lifeguards Initiative,0x479fd465f4839F6C59aEb54A003224C6EeF1a82A,https://research.lido.fi/t/lido-community-lifeguards-initiative/4678,1685042213,1685642400,2023-06-01T18:00:00+00:00,closed
lido-snapshot.eth,0x5e9ffb74b7f0e026a898301a65302345fb6dc2e09f724b9c9bec2f35902c1324,Launchnodes - Impact Staking with Lido,0x479fd465f4839F6C59aEb54A003224C6EeF1a82A,https://research.lido.fi/t/launchnodes-impact-staking-with-lido-grant-proposal/3732/8,1685041696,1685642400,2023-06-01T18:00:00+00:00,closed
lido-snapshot.eth,0xbfecc75c45bca53d3c5786f099d46559ac597bc3fae802d5f599b60f10b4bd4a,Nominate the Gas Supply Committee as a supervisor for gas expenditure,0x479fd465f4839F6C59aEb54A003224C6EeF1a82A,https://research.lido.fi/t/nominate-the-gas-supply-committee-as-a-supervisor-for-gas-expenditure/4724,1685040988,1685642400,2023-06-01T18:00:00+00:00,closed
lido-snapshot.eth,0xf9ea35a74376178f680b2d3d6c26174be1853a487fcec9cda6880a05198f33db,A decision on an outflow of 39.8 ETH from the Lido DAO treasury to aid in the Sushi recovery (restart),0x479fd465f4839F6C59aEb54A003224C6EeF1a82A,https://research.lido.fi/t/a-decision-on-an-outflow-of-40-eth-from-the-lido-dao-treasury-to-aid-in-the-sushi-recovery/4492,1684432800,1685037600,2023-05-25T18:00:00+00:00,closed
lido-snapshot.eth,0x57cee570cec459a4b441d4f71682824fe69c83babb6896d06164bd437de856b4,Proposal to claim stolen LDO tokens due to hack ,0xC8e97DDb990b85Cc3CD5DfDc6294f15946A02795,https://research.lido.fi/t/proposal-to-claim-stolen-ldo-tokens-of-licensed-defi-protocol/4626,1684346380,1684443540,2023-05-18T20:59:00+00:00,closed
