space,id,title,author,discussion,start,end,end_iso,state
metislayer2.eth,0x2be32769397c6edc086b822da2aeefb6de8b431be41d0bcdf51b55767add26c6,Infrastructure - Sequencer Proposal: Nodies,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/sequencer-proposal-nodies/2811,1719245125,1719504325,2024-06-27T16:05:25+00:00,closed
metislayer2.eth,0x3944425f3212a5be75b5553befb6911a6573779199871ea42d6b9c7a40aaf9fb,Infrastructure - Sequencer Proposal: P2P.org,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/sequencer-proposal-p2p-org/2815,1719244844,1719504044,2024-06-27T16:00:44+00:00,closed
metislayer2.eth,0xa51036b975dd85824334216021671ebcbf1b929c5dc401ee137f29c3af259504,Infrastructure - Sequencer Proposal: OKX,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/sequencer-proposal-okx/3426,1719244800,1719504000,2024-06-27T16:00:00+00:00,closed
metislayer2.eth,0xc4328127d88e4822bc3bdbe08fe19ce21d28954e1038359c52ee99f05738c8ec,Infrastructure - Sequencer Proposal: 01node,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/sequencer-proposal-01node/3312,1719244800,1719504000,2024-06-27T16:00:00+00:00,closed
metislayer2.eth,0x8b775c190f220135ee7c42b5045ed9abe982b82d4d30b96d3601b6f74348faae,Infrastructure - Sequencer Proposal: MatrixedLink,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/sequencer-proposal-matrixedlink/2555,1719244800,1719504000,2024-06-27T16:00:00+00:00,closed
metislayer2.eth,0x052bc550c1ca8d2de69ac0ac679a1e258507804383ee11a9ca670caa5449a4a9,Infrastructure - Sequencer Proposal: Artifact Systems,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/sequencer-proposal-artifact-systems/2748,1719244800,1719504000,2024-06-27T16:00:00+00:00,closed
metislayer2.eth,0x08641e06eaa50159abe267f86f216c0ddb486a873c9c9323d81ab60f85114d3e,Infrastructure - Sequencer Proposal: Imperator.co,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/sequencer-proposal-imperator-co/2999,1719244800,1719504000,2024-06-27T16:00:00+00:00,closed
metislayer2.eth,0xd69e07aee52d2fdd14f507fe774c55f55f86847d36be38c53973baa8a0e41ac3,Infrastructure - Sequencer Proposal: Luganodes,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/sequencer-proposal-luganodes/2893,1719244800,1719504000,2024-06-27T16:00:00+00:00,closed
metislayer2.eth,0x6c279638a9dc2185f53ba6b5ff2bb9b5c12f40c7129a9960a7d8e1918e0c1c9c,Infrastructure - Sequencer Proposal: Criterion,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/sequencer-proposal-criterion/2879,1719244800,1719504000,2024-06-27T16:00:00+00:00,closed
metislayer2.eth,0x38ad0d2fa45d0e33d0783880b58d9cda95f54782012f4d3187111491579f877c,Infrastructure - Sequencer Proposal: SNZPool,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/sequencer-proposal-snzpool/3386,1719244800,1719504000,2024-06-27T16:00:00+00:00,closed
metislayer2.eth,0x2d3b4c0336df1fc99ddf8079bdb01e6c99d831734a4e722b2a7c88721804b9f9,Infrastructure - Sequencer Proposal: TEB,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/sequencer-proposal-teb/3327/2,1719244800,1719504000,2024-06-27T16:00:00+00:00,closed
metislayer2.eth,0x50efc338d5460e11808cbed3b4654fc60b911b3ee9bda7fdd013ddff3f01b88d,Infrastructure - Sequencer Proposal: Pier Two,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/sequencer-proposal-pier-two/2615,1719244800,1719504000,2024-06-27T16:00:00+00:00,closed
metislayer2.eth,0x52cde825af853ba97529f898d0ea254c931b22f912e3334c2d8602d718fd1eba,Infrastructure - Sequencer Proposal: NorthWest Nodes,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/sequencer-proposal-northwest-nodes/2793,1719244800,1719504000,2024-06-27T16:00:00+00:00,closed
metislayer2.eth,0x9d5503f2de76f01438ac5502c27617805d2036c33de75248b1c088feec718a30,Infrastructure - Sequencer Proposal: Pathrock Network,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/sequencer-proposal-pathrock-network/3145,1719244800,1719504000,2024-06-27T16:00:00+00:00,closed
metislayer2.eth,0x15cc3893e74d00ef2da65bc27a1d8408fcfcca6cf89a80f9afa8796384212249,Infrastructure - Sequencer Proposal: Pragma Ventures,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/sequencer-proposal-pragma-ventures/3232,1719244800,1719504000,2024-06-27T16:00:00+00:00,closed
metislayer2.eth,0x492616a2bc82efc0025ba66a2032936e580975344fa2ad8bcfb2f13793f9d575,Infrastructure - Sequencer Proposal: A41,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/sequencer-proposal-a41/2833,1719244800,1719504000,2024-06-27T16:00:00+00:00,closed
metislayer2.eth,0xcd641e387bf0ddbdc1be1ab87c09f7632a6ae9eb1c069fa667b36e4abb7ab580,Ecosystem Proposal: Barsik – the mascot of Metis,0xb6Ba0Edc202dCE9780CC54157aB487b998F46903,https://ceg.vote/t/ecosystem-proposal-barsik-the-mascot-of-metis/3390,1718989200,1719248400,2024-06-24T17:00:00+00:00,closed
metislayer2.eth,0xad57bd085393140d2d50aa08127a50e27715ec69817fe381269e5ce3a23891d9,Ecosystem Proposal: caca represents both power of sarcasm and new wave on Metis,0xb6Ba0Edc202dCE9780CC54157aB487b998F46903,https://ceg.vote/t/cvp-proposal-caca-represents-both-power-of-sarcasm-and-new-wave-on-metis/3442,1718989200,1719248400,2024-06-24T17:00:00+00:00,closed
metislayer2.eth,0xdaf8ef608d60e33a43515dba0c24a4ad0299e2e59d9d52939a2419d842c941d5,Infrastructure - LST Proposal: Velix,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/lst-protocol-proposal-velix/3403,1718813168,1719072368,2024-06-22T16:06:08+00:00,closed
metislayer2.eth,0x788dd38138801ef2ca166ab10cdbf11f0939ce1e8c55eede968852ab0286b03c,Infrastructure - LST Proposal: StaFi,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/lsd-proposal-stafi/2360,1718813029,1719072229,2024-06-22T16:03:49+00:00,closed
metislayer2.eth,0x6c27021406cb2435fe0e097ecfc94e50c8096bd9aa93688f1dfa13135b8a7fcd,Infrastructure - LST Proposal: Stake.link,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/lst-proposal-stake-link/2818,1718812907,1719072107,2024-06-22T16:01:47+00:00,closed
metislayer2.eth,0xfae716d37e9bd68b4a279c619aa4decb408e9b3b7bb1fc43394dbdc81d73a71c,Infrastructure - LST Proposal: Accumulated Finance,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/lsd-proposal-accumulated-finance/1704,1718812804,1719072004,2024-06-22T16:00:04+00:00,closed
metislayer2.eth,0xde49b5dc0c01f4c5b51b352d681febfdac38fe38951b44c175614fb9fab1cfbb,Ecosystem Proposal: Owl Protocol - Dev suite to be used to build complete apps or integrations via a REST API,0xb6Ba0Edc202dCE9780CC54157aB487b998F46903,https://ceg.vote/t/cvp-proposal-owl-protocol-dev-suite-to-be-used-to-build-complete-apps-or-integrations-via-a-rest-api/3405,1718042400,1718301600,2024-06-13T18:00:00+00:00,closed
metislayer2.eth,0xdffbd1865645d910bd70f244d59867fdebfe8965c88707ff1c1f8d8d07eeaa38,Ecosystem Proposal: Stakingrewards.com Integration,0xb6Ba0Edc202dCE9780CC54157aB487b998F46903,https://ceg.vote/t/cvp-proposal-stakingrewards-com-integration/3401,1718042400,1718301600,2024-06-13T18:00:00+00:00,closed
metislayer2.eth,0xb31eb4c7f900ecaf97ed87c57c9416572562345d0d76852508c9d84ada91efb5,Ecosystem Proposal: 0xGasless Account Abstraction - Metis Integration partnership,0xb6Ba0Edc202dCE9780CC54157aB487b998F46903,https://ceg.vote/t/cvp-proposal-0xgasless-account-abstraction-metis-integration-partnership/3407?u=0xgasless,1718042400,1718301600,2024-06-13T18:00:00+00:00,closed
metislayer2.eth,0x18f713f4b9b39ef5594bf7857ec08f16d1cbc65cbc472d8e961376924d35aa6f,Governance Proposal: Liquid Staking Tokens (LST) protocols Governance,0x536Cf451e6f5C0CFe6175293970D59AaC7c28812,https://ceg.vote/t/governance-proposal-liquid-staking-tokens-lst-protocols-governance/3387,1718036152,1718295352,2024-06-13T16:15:52+00:00,closed
metislayer2.eth,0x1f7dd0895f96073bc9dd7874fb5f562b3d98ec85991930be09886338026d6966,Ecosystem Proposal: OMO Swap – Deployed on Metis Mainnet and supported on-chain Swap!,0xb6Ba0Edc202dCE9780CC54157aB487b998F46903,https://ceg.vote/t/omo-swap-deployed-on-metis-mainnet-and-supported-on-chain-swap/3385,1717437600,1717696800,2024-06-06T18:00:00+00:00,closed
metislayer2.eth,0x190d411d6631bc570def877a554a9413923a1df721c4e69d81f5235eb3a37869,Ecosystem Proposal: codatta - data confidence protocol for AI (Revote),0xb6Ba0Edc202dCE9780CC54157aB487b998F46903,https://ceg.vote/t/cvp-proposal-codatta-data-confidence-protocol-for-ai/3376,1717437600,1717696800,2024-06-06T18:00:00+00:00,closed
metislayer2.eth,0x076ba05d98476e200ccccb5c3094f8debd25021fa7350a3f217eb9ed41d37886,Ecosystem Proposal: API3 DAO,0xb6Ba0Edc202dCE9780CC54157aB487b998F46903,https://ceg.vote/t/ecosystem-proposal-api3-dao/3391,1717437600,1717696800,2024-06-06T18:00:00+00:00,closed
metislayer2.eth,0x5c7f41e3e563c67d91ffc5ed39b72dc2f117e1f4b82e30803ca70a08ab28b646,Ecosystem Proposal: Primis Protocol - Decentralized Game Servers powered by Liquid Staking on Metis,0xb6Ba0Edc202dCE9780CC54157aB487b998F46903,https://ceg.vote/t/primis-protocol-decentralized-game-servers-powered-by-liquid-staking-on-metis/3305,1716829859,1717089059,2024-05-30T17:10:59+00:00,closed
metislayer2.eth,0x11d0fd2db6e1b5da83789ad6f80fd33d764aa78d04594be92f790a4177925603,Ecosystem Proposal: 1KXTrade,0xb6Ba0Edc202dCE9780CC54157aB487b998F46903,https://ceg.vote/t/cvp-proposal-1kxtrade/3364,1716829417,1717088617,2024-05-30T17:03:37+00:00,closed
metislayer2.eth,0x22fe12b562811cfcc6dc47de8506fbc97f98999cc245f7564f2ca09e94ab643e,Ecosystem Proposal: RetroBridge <> Metis Integration & Co-Marketing (CVP Proposal),0xb6Ba0Edc202dCE9780CC54157aB487b998F46903,https://ceg.vote/t/retrobridge-metis-integration-co-marketing-cvp-proposal/3348,1716224682,1716483882,2024-05-23T17:04:42+00:00,closed
metislayer2.eth,0x5e88e4b721ce2a4122d2dd84de1b1490b806da8cc5c2b4ae4700def1bd3eeab3,Ecosystem Proposal: Cicero Finance,0xb6Ba0Edc202dCE9780CC54157aB487b998F46903,https://ceg.vote/t/cvp-proposal-cicero-finance/3344,1716224414,1716483614,2024-05-23T17:00:14+00:00,closed
metislayer2.eth,0x0c55e3c166498761804e319b13f06071e242064576d86583d2d0b3a30ecf8d44,Ecosystem Proposal: BluWhale | Decentralized AI Personalization on Metis,0xb6Ba0Edc202dCE9780CC54157aB487b998F46903,https://ceg.vote/t/cvp-proposal-bluwhale-decentralized-ai-personalization-on-metis/3337#key-benefits-2,1716224400,1716483600,2024-05-23T17:00:00+00:00,closed
metislayer2.eth,0x64f3183a67438763c0305a36103832b388eadce65cbbc89b0e91fbe56f4eefda,Ecosystem Proposal: Integrate Secret Network’s Confidential Computing Layer with Metis,0xb6Ba0Edc202dCE9780CC54157aB487b998F46903,https://ceg.vote/t/cvp-proposal-integrate-secret-networks-confidential-computing-layer-with-metis/3347,1715620127,1715879327,2024-05-16T17:08:47+00:00,closed
metislayer2.eth,0x14ac57a3796649e88f1c1566cd694b434cb11f31bb091e920d4ebcf1abbfaa69,Ecosystem Proposal: Coin98 Super Wallet x Metis: Wallet Integration & Potential Co-Marketing Campaign,0xb6Ba0Edc202dCE9780CC54157aB487b998F46903,https://ceg.vote/t/coin98-super-wallet-x-metis-wallet-integration-potential-co-marketing-campaign/3343#benefits-for-users-3,1715619649,1715878849,2024-05-16T17:00:49+00:00,closed
metislayer2.eth,0xfcbd7ce8d5284c8a8af14164f3a32666a38116620c73e59cee4bab28317aa03c,Ecosystem Proposal: WOWMAX - the most efficient DEX aggregator launched on Metis,0xb6Ba0Edc202dCE9780CC54157aB487b998F46903,https://ceg.vote/t/co-marketing-proposal-for-wowmax-the-most-efficient-dex-aggregator-launched-on-metis/3322,1715018727,1715277927,2024-05-09T18:05:27+00:00,closed
metislayer2.eth,0xe59f06d203dafb68f57d4fa392cb00b142f186c348411b57ac5a2f64409841f4,Ecosystem Proposal: P2PX – Fully decentralised Crypto to Fiat On/Off ramps on Metis,0xb6Ba0Edc202dCE9780CC54157aB487b998F46903,https://ceg.vote/t/p2px-fully-decentralised-crypto-to-fiat-on-off-ramps-on-metis/3291,1715018553,1715277753,2024-05-09T18:02:33+00:00,closed
metislayer2.eth,0xb1e132d7428ff864ab8ad973e3875db9f5ae364931ff59362dfdc031f3341b5c,Infrastructure - LST Proposal: Request for Additional Sequencer Node for Artemis Finance,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/lst-proposal-request-for-additional-sequencer-node-for-artemis-finance/3319,1714579200,1714838400,2024-05-04T16:00:00+00:00,closed
metislayer2.eth,0xcc15c16221ccd61da3ea76c416bfcd5767ad955ec2be9efad0101c6b34d6ac58,Ecosystem Proposal: Router Protocol | Chain Abstraction - Zero TVL Intents based bridging,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/cvp-proposal-router-protocol-chain-abstraction-zero-tvl-intents-based-bridging/3318,1714410899,1714670099,2024-05-02T17:14:59+00:00,closed
metislayer2.eth,0x6a6739080248d200c64a9a5d765a97581bd09885413d6f67dada4f0dbc6ab4f9,Ecosystem Proposal: Moon Tropica | The next big Gamefi project,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/ecosystem-proposal-moon-tropica-the-next-big-gamefi-project/3309,1714410764,1714669964,2024-05-02T17:12:44+00:00,closed
metislayer2.eth,0x532bc14e6df6fd2ef7b1df99c750b048157caf9694fa5d05598dded96517c317,Ecosystem Proposal: DAOstar | Standards & Public Goods for DAOs,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/cvp-proposal-daostar-standards-public-goods-for-daos/3218/1,1714410599,1714669799,2024-05-02T17:09:59+00:00,closed
metislayer2.eth,0xb3ad99371785e545427365b09aeb6c269ac10678ed449b469100744255a460c3,"Ecosystem Proposal: XSwap 2nd step into Chainlink's ecosystem, attracting new traders and revenue",0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/ecosystem-proposal-xswap-2nd-step-into-chainlinks-ecosystem-attracting-new-traders-and-revenue/3271/1,1713805200,1714064400,2024-04-25T17:00:00+00:00,closed
metislayer2.eth,0xa5c55c8509e4835f6b1b72496ae1359c4b611fb073cdeb3cae472974d4ae1e93,Ecosystem Proposal: Cede.store x Metis - Co-Marketing & Incentive Campaign,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/cvp-proposal-cede-store-x-metis-co-marketing-incentive-campaign/3258,1713805200,1714064400,2024-04-25T17:00:00+00:00,closed
metislayer2.eth,0xbc2e7ac906c637896bf9fb5a18c8bc3e35cd0b69d76dbbf46129d618fa1e16c6,Ecosystem Proposal: Holdstation,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/cvp-proposal-holdstation/1770,1713200400,1713459600,2024-04-18T17:00:00+00:00,closed
metislayer2.eth,0x8cfa5189e485498a2d2b2917cb3c5bc320d8d0ef397b53825df9521fed8917a6,Ecosystem Proposal: Gas.zip x Metis,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/cvp-proposal-gas-zip-x-metis/3282/1,1713200400,1713459600,2024-04-18T17:00:00+00:00,closed
metislayer2.eth,0xf6c8dde8f85b79956c5c671a5033d43e913e71ccf308cb843c46586f87f9144a,Ecosystem Proposal: Blocklive | Live Events on Metis,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/cvp-proposal-blocklive-live-events-on-metis/3255,1713200400,1713459600,2024-04-18T17:00:00+00:00,closed
metislayer2.eth,0x6661e89b63d301a9a7713e0d846c94ff3266fb6faf57bab9c07adf6300ac8791,Ecosystem Proposal: MONKEX | The Metis OG Community,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/cvp-proposal-monkex-the-metis-og-community/3290/2,1713200400,1713459600,2024-04-18T17:00:00+00:00,closed
metislayer2.eth,0x422ae74879be6204b92f88d2a67c4e823d032df5383c94e831fee7813fd607af,Ecosystem Proposal: Barsik – the mascot of Metis,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/barsik-the-mascot-of-metis/3264/1,1713200400,1713459600,2024-04-18T17:00:00+00:00,closed
metislayer2.eth,0x7b7503df37371980f4f35d41963cd6350eee5f149da840e54e1e5006fb942bce,Ecosystem Proposal: A51 Finance,0x536Cf451e6f5C0CFe6175293970D59AaC7c28812,https://ceg.vote/t/cvp-proposal-a51-finance/3251,1712598296,1712857496,2024-04-11T17:44:56+00:00,closed
metislayer2.eth,0xfde57807b56e5beed9db62a491f7acf695cd624da8bfcedeff5402df7bc24e3e,Ecosystem Proposal: Eris Finance,0x536Cf451e6f5C0CFe6175293970D59AaC7c28812,https://ceg.vote/t/cvp-proposal-eris-finance-1-metis-native-lending-borrowing-protocol/3201,1712598043,1712857243,2024-04-11T17:40:43+00:00,closed
metislayer2.eth,0x9f22b77a7099449edc107dcff0e4799b7e083d822bb21fd011b621f27e636ffb,Ecosystem Proposal: Alchemy Pay,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/cvp-proposal-alchemy-pay/3238,1712597994,1712857194,2024-04-11T17:39:54+00:00,closed
metislayer2.eth,0x167b2da177fdda4138dd11582863f45b7c0c62678135303c52cc1a7b772a0c82,Ecosystem Proposal: Stablis Finance | LST borrowing & overcollateralized stablecoin,0xa054A7E0348561faE169fAcDf35159e5DC1b3c6f,https://ceg.vote/t/cvp-proposal-stablis-finance-lst-borrowing-overcollateralized-stablecoin/3127,1712597912,1712857112,2024-04-11T17:38:32+00:00,closed
metislayer2.eth,0xaf0557dc57a0a446c3662eafdc49aa36eece860db92a537428fb3c5f90efb84a,Ecosystem Proposal: Metlab ,0x536Cf451e6f5C0CFe6175293970D59AaC7c28812,https://ceg.vote/t/cvp-proposal-metlab-to-launch-on-metis-network/3249,1712597700,1712856900,2024-04-11T17:35:00+00:00,closed
metislayer2.eth,0x26541a3a4770c6cd9b9c9cd8d8ecdc20c91a905cdba5d9e18adf09fbd596ebc6,Ecosystem Proposal: BitMetis - Power Up Game With AI,0x9F9e26f06eF1FD5954DeEB897a8a16C1dcAea669,https://ceg.vote/t/cvp-proposal-bitmetis-power-up-game-with-ai/1656/2,1712073600,1712332800,2024-04-05T16:00:00+00:00,closed
