space,CMC_link,CMC_ucid,CMC_ticker,Name_Defillama,Contracts,Defillama_link,Defillama_type,Defillama_slug
aurafinance.eth,https://coinmarketcap.com/currencies/aura-finance/,21532,AURA,Aura,0xc0c293ce456ff0ed870add98a0828dd4d2903dbf,https://defillama.com/protocol/aura,protocol,aura
balancer.eth,https://coinmarketcap.com/currencies/balancer/,5728,BAL,Balancer,0xba100000625a3754423978a60c9317c58a424e3D,https://defillama.com/protocol/balancer,protocol,balancer
1inch.eth,https://coinmarketcap.com/currencies/1inch/,8104,1INCH,1inch Network,0x111111111117dc0aa78b770fa6a738034120c302,https://defillama.com/protocol/1inch-network,protocol,1inch-network
aavedao.eth,https://coinmarketcap.com/currencies/aave/,7278,AAVE,AAVE,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,https://defillama.com/protocol/aave,protocol,aave
metislayer2.eth,https://coinmarketcap.com/currencies/metisdao/,9640,METIS,Metis,0x9E32b13ce7f2E80A01932B42553652E053D6ed8e,https://defillama.com/protocol/metis-bridge,protocol,metis-bridge
uniswapgovernance.eth,https://coinmarketcap.com/currencies/uniswap/,7083,UNI,Uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,https://defillama.com/protocol/uniswap,protocol,uniswap
lido-snapshot.eth,https://coinmarketcap.com/currencies/lido-dao/,8000,LDO,Lido,0x5a98fcbea516cf06857215779fd812ca3bef1b32,https://defillama.com/protocol/lido,protocol,lido
arbitrumfoundation.eth,https://coinmarketcap.com/currencies/arbitrum/,11841,ARB,Arbitrum,0x912CE59144191C1204E64559FE8253a0e49E6548,https://defillama.com/chain/arbitrum,chain,arbitrum
